OA: 0.9598  MP: 0.9451  MR: 0.8596  MIoU: 0.8218  FWIoU: 0.9233  MDice: 0.9003  ID: In_104
OA: 0.9829  MP: 0.9524  MR: 0.9269  MIoU: 0.8899  FWIoU: 0.9673  MDice: 0.9395  ID: In_121
OA: 0.9913  MP: 0.9352  MR: 0.9451  MIoU: 0.8921  FWIoU: 0.9837  MDice: 0.9401  ID: In_123
OA: 0.9968  MP: 0.9026  MR: 0.9117  MIoU: 0.8429  FWIoU: 0.9940  MDice: 0.9071  ID: In_126
OA: 0.9869  MP: 0.9662  MR: 0.8618  MIoU: 0.8410  FWIoU: 0.9744  MDice: 0.9110  ID: In_128
OA: 0.9943  MP: 0.9546  MR: 0.8473  MIoU: 0.8236  FWIoU: 0.9891  MDice: 0.8978  ID: In_139
OA: 0.9933  MP: 0.9618  MR: 0.8326  MIoU: 0.8137  FWIoU: 0.9871  MDice: 0.8926  ID: In_140
OA: 0.9964  MP: 0.8527  MR: 0.7627  MIoU: 0.7145  FWIoU: 0.9935  MDice: 0.8052  ID: In_142
OA: 0.9788  MP: 0.9021  MR: 0.8435  MIoU: 0.7900  FWIoU: 0.9607  MDice: 0.8718  ID: In_150
OA: 0.9776  MP: 0.9353  MR: 0.9136  MIoU: 0.8655  FWIoU: 0.9576  MDice: 0.9243  ID: In_16
OA: 0.9166  MP: 0.8776  MR: 0.6908  MIoU: 0.6382  FWIoU: 0.8458  MDice: 0.7731  ID: In_163
OA: 0.9295  MP: 0.9185  MR: 0.8168  MIoU: 0.7634  FWIoU: 0.8683  MDice: 0.8647  ID: In_165
OA: 0.9880  MP: 0.9096  MR: 0.9713  MIoU: 0.8885  FWIoU: 0.9780  MDice: 0.9394  ID: In_171
OA: 0.9945  MP: 0.9244  MR: 0.9743  MIoU: 0.9051  FWIoU: 0.9898  MDice: 0.9487  ID: In_172
OA: 0.9848  MP: 0.9498  MR: 0.9329  MIoU: 0.8932  FWIoU: 0.9709  MDice: 0.9412  ID: In_18
OA: 0.9679  MP: 0.8411  MR: 0.8163  MIoU: 0.7371  FWIoU: 0.9434  MDice: 0.8285  ID: In_183
OA: 0.9878  MP: 0.9610  MR: 0.9591  MIoU: 0.9251  FWIoU: 0.9764  MDice: 0.9600  ID: In_184
OA: 0.9870  MP: 0.9446  MR: 0.9655  MIoU: 0.9160  FWIoU: 0.9755  MDice: 0.9550  ID: In_185
OA: 0.9919  MP: 0.8846  MR: 0.9293  MIoU: 0.8401  FWIoU: 0.9854  MDice: 0.9064  ID: In_189
OA: 0.9797  MP: 0.9534  MR: 0.9030  MIoU: 0.8693  FWIoU: 0.9611  MDice: 0.9275  ID: In_192
OA: 0.9884  MP: 0.9470  MR: 0.9600  MIoU: 0.9138  FWIoU: 0.9780  MDice: 0.9535  ID: In_193
OA: 0.9531  MP: 0.9068  MR: 0.7863  MIoU: 0.7401  FWIoU: 0.9124  MDice: 0.8423  ID: In_20
OA: 0.9730  MP: 0.9525  MR: 0.8864  MIoU: 0.8529  FWIoU: 0.9481  MDice: 0.9183  ID: In_201
OA: 0.9893  MP: 0.9054  MR: 0.9395  MIoU: 0.8633  FWIoU: 0.9804  MDice: 0.9222  ID: In_213
OA: 0.9869  MP: 0.9607  MR: 0.9034  MIoU: 0.8756  FWIoU: 0.9748  MDice: 0.9312  ID: In_226
